timestamp,count,uniques
2025-07-11T00:00:00Z,33,25
2025-07-12T00:00:00Z,39,29
2025-07-13T00:00:00Z,1,1
2025-07-14T00:00:00Z,15,12
2025-07-16T00:00:00Z,2,2
2025-07-17T00:00:00Z,27,19
2025-07-18T00:00:00Z,13,10
2025-07-19T00:00:00Z,15,9
2025-07-20T00:00:00Z,1,1
2025-07-21T00:00:00Z,1,1
2025-07-22T00:00:00Z,2,2
2025-07-23T00:00:00Z,54,32
2025-07-24T00:00:00Z,2,2
2025-07-26T00:00:00Z,1,1
2025-07-30T00:00:00Z,1,1
2025-07-31T00:00:00Z,5,4
2025-08-02T00:00:00Z,1,1
2025-08-06T00:00:00Z,1,1
2025-08-09T00:00:00Z,1,1
2025-08-12T00:00:00Z,1,1
2025-08-13T00:00:00Z,2,2
2025-08-16T00:00:00Z,3,3
2025-08-17T00:00:00Z,12,8
2025-08-19T00:00:00Z,1,1
2025-08-25T00:00:00Z,1,1
2025-09-01T00:00:00Z,1,1
2025-09-03T00:00:00Z,1,1
2025-09-06T00:00:00Z,1,1
2025-09-13T00:00:00Z,1,1
2025-09-14T00:00:00Z,1,1
2025-09-18T00:00:00Z,1,1
2025-09-20T00:00:00Z,1,1
2025-09-23T00:00:00Z,1,1
2025-09-27T00:00:00Z,3,3
2025-09-29T00:00:00Z,1,1
2025-10-03T00:00:00Z,1,1
2025-10-04T00:00:00Z,1,1
2025-10-08T00:00:00Z,1,1
2025-10-10T00:00:00Z,1,1
2025-10-11T00:00:00Z,3,3
2025-10-12T00:00:00Z,1,1
2025-10-14T00:00:00Z,3,1
2025-10-18T00:00:00Z,1,1
2025-10-28T00:00:00Z,10,4
2025-10-29T00:00:00Z,3,3
2025-10-30T00:00:00Z,1,1
2025-10-31T00:00:00Z,1,1
2025-11-03T00:00:00Z,2,2
2025-11-11T00:00:00Z,1,1
2025-11-15T00:00:00Z,1,1
2025-11-16T00:00:00Z,2,1
2025-11-18T00:00:00Z,1,1
2025-11-20T00:00:00Z,1,1

Total Clones: 282
Total Unique Clones: 208
Data points: 53
Date range: 2025-07-11 to 2025-11-20
