timestamp,count,uniques
2025-08-01T00:00:00Z,18,14
2025-08-02T00:00:00Z,30,19
2025-08-03T00:00:00Z,6,4
2025-08-04T00:00:00Z,35,18
2025-08-05T00:00:00Z,33,19
2025-08-06T00:00:00Z,13,12
2025-08-07T00:00:00Z,32,27
2025-08-08T00:00:00Z,13,12
2025-08-09T00:00:00Z,89,78
2025-08-10T00:00:00Z,8,7
2025-08-11T00:00:00Z,1,1
2025-08-12T00:00:00Z,8,8
2025-08-13T00:00:00Z,7,6
2025-08-16T00:00:00Z,9,8
2025-08-17T00:00:00Z,4,4
2025-08-18T00:00:00Z,2,2
2025-08-19T00:00:00Z,2,2
2025-08-21T00:00:00Z,1,1
2025-08-22T00:00:00Z,4,4
2025-08-23T00:00:00Z,4,4
2025-08-25T00:00:00Z,5,5
2025-08-26T00:00:00Z,3,2
2025-08-31T00:00:00Z,12,12
2025-09-01T00:00:00Z,1,1
2025-09-03T00:00:00Z,1,1
2025-09-05T00:00:00Z,3,3
2025-09-06T00:00:00Z,17,16
2025-09-07T00:00:00Z,3,3
2025-09-08T00:00:00Z,2,2
2025-09-09T00:00:00Z,4,4
2025-09-10T00:00:00Z,1,1
2025-09-11T00:00:00Z,2,2
2025-09-13T00:00:00Z,1,1
2025-09-14T00:00:00Z,4,4
2025-09-16T00:00:00Z,8,8
2025-09-17T00:00:00Z,6,6
2025-09-18T00:00:00Z,3,3
2025-09-19T00:00:00Z,2,1
2025-09-20T00:00:00Z,9,5
2025-09-22T00:00:00Z,1,1
2025-09-25T00:00:00Z,3,3
2025-09-27T00:00:00Z,2,2
2025-10-01T00:00:00Z,4,2
2025-10-06T00:00:00Z,1,1
2025-10-09T00:00:00Z,1,1
2025-10-11T00:00:00Z,2,2
2025-10-12T00:00:00Z,1,1
2025-10-14T00:00:00Z,3,1
2025-10-15T00:00:00Z,3,1
2025-10-17T00:00:00Z,5,2
2025-10-18T00:00:00Z,2,1
2025-10-19T00:00:00Z,3,2
2025-10-20T00:00:00Z,1,1
2025-10-21T00:00:00Z,1,1
2025-10-25T00:00:00Z,1,1
2025-10-26T00:00:00Z,3,1
2025-10-28T00:00:00Z,4,4
2025-10-29T00:00:00Z,1,1
2025-10-30T00:00:00Z,1,1
2025-11-01T00:00:00Z,1,1
2025-11-04T00:00:00Z,1,1
2025-11-07T00:00:00Z,3,2
2025-11-09T00:00:00Z,2,2
2025-11-12T00:00:00Z,2,2
2025-11-13T00:00:00Z,2,1
2025-11-15T00:00:00Z,6,4
2025-11-18T00:00:00Z,1,1
2025-11-19T00:00:00Z,1,1
2025-11-20T00:00:00Z,1,1

Total Clones: 469
Total Unique Clones: 376
Data points: 69
Date range: 2025-08-01 to 2025-11-20
